group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1800389323868,train,1,[1 -2 0],1 2 5,3,25284 9441 4067 2392 6568,51 32 32 51 32,0 3,47752,-30,1565796960.954,Wed Aug 14 2019 11:36:00 GMT-0400 (Eastern Daylight Time),0
A,1800389323868,train,1,[1 -1 0],1 4 13,3,3807 2658 1600 1281,49 32 49 32,0 2,9346,10,1565796973.987,Wed Aug 14 2019 11:36:13 GMT-0400 (Eastern Daylight Time),0
A,1800389323868,train,1,[-1 1 0],1 3 9,3,4985 3652 8754 3713 4733,50 32 32 50 32,0 3,25837,0,1565797002.423,Wed Aug 14 2019 11:36:42 GMT-0400 (Eastern Daylight Time),0
